text,time,self-determination,home,body,spiritual dimension,life events,historical events,family,childhood and adolescence,aging,meloncholy,self-performance,politics,relation with men,relation with the natural world,relation with reality,relation with women,writing,feelings and moods,profession of the actress
"You cannot touch the pulse to this sick [the Italian theater] without interrogating those who have shown that they know with dignity and consciousness to exercise this troubled art, which will ever have rest, which will never touch a goal, because just one has reached it , another arises different to conquer. So, for us, our life will always be a poor thing even if to the other splendid pairs. A life, which if it is made up of many lives and gives the joy and torment of living them all, tomorrow is nothing more.",1.4507144200615585,0.5659878849983215,0.003348445286974311,0.49909669160842896,0.6604410409927368,0.9048376679420471,0.06979960203170776,0.08615639060735703,0.341146320104599,0.628889262676239,0.02875397354364395,0.5710755586624146,0.01828051172196865,0.18544304370880127,0.20922574400901794,0.22619928419589996,0.11640502512454987,0.266775518655777,0.8612558841705322,0.08293072134256363
"I was fourteen, when I introduced myself to the Secretariat of the Academy of the Teatro dei Filodrammatici, to be admitted to the diction and acting courses of our school in Milan. But I had to go back, disappointed and sad, after a kind but firm denial having not yet reached the age prescribed by the regulations for admission (sixteen years). The following year, as if I had already reached that age, with the firmer face, I still knock on that door; And, in the face of so much good and passionate will, here is the first tear to the regulations, dates, principles, customs. [...]",1.4507144200615585,0.5113701224327087,0.026712702587246895,0.1335778683423996,0.06412804871797562,0.25330036878585815,0.3132334351539612,0.01028788648545742,0.7621746063232422,0.8129084706306458,0.12814396619796753,0.6971872448921204,0.006051492411643267,0.05252585932612419,0.05548951402306557,0.0512942299246788,0.08231882005929947,0.8460135459899902,0.8805932998657227,0.600292444229126
"[The Academy] was like my second and most true home [...] Ophelia Mazzoni lent with an enchantment, I would like to say authoritarian, his teaching; [...] The joy of my first conquest was his judgment [...]. Here in the second year, replace her, Enrico Reinach: good, paternal, elegant. I knew how to find the two veins in me: the dramatic vein and the comic vein; Therefore, I was among its students the only one to which two scenes were entrusted to each essay, a dramatic and a comedian.",1.4507144200615585,0.7867156267166138,0.976485550403595,0.0820799246430397,0.38617146015167236,0.46994084119796753,0.040732286870479584,0.7421596050262451,0.465697705745697,0.13084425032138824,0.35099953413009644,0.8131829500198364,0.024941766634583473,0.048806142061948776,0.10332691669464111,0.4162144958972931,0.30990728735923767,0.9004969596862793,0.8504111766815186,0.689326822757721
"Among the memories of the Academy I cannot between leaving the greatest: the fortune of having had among the spectators, to one of the essays, Eleonora Duse. I didn't even have the good to see her in the face. [...] I had the meaning of his physical presence only when Enrico Reinach, at the end of the essay, told me radiant to have had the hottest congratulations from her for ""her student"".",1.4507144200615585,0.5366963148117065,0.007917405106127262,0.12547531723976135,0.17227782309055328,0.19101467728614807,0.08931448310613632,0.2599973678588867,0.4779043197631836,0.13125209510326385,0.015365651808679104,0.6616758108139038,0.0013452122220769525,0.03330506011843681,0.20821167528629303,0.10984382778406143,0.4635612964630127,0.9585999250411987,0.6414766907691956,0.7495689988136292
"His [by Enrico Reinach] teaching of two years had tightened our knowledge, devoted on my and friendly even towards my relatives on his part. So imagine my surprise, when I learned that my parents had not recommended my entry in art. A flame of anger climbed me to the forehead; A betrayal seemed to me. But he, with his old comedian experience, caressing my cheek with his beautiful hand jagged the little finger: ""Dear, the theater, it is better to see it from the armchair"". He already knew me engaged, and it was grateful to him to see me in the care of a house, rather than among the uncertainties and instability of a stage. [...] The family gripped the brakes more and more, forbidden to participate in any act [...] I also offended the possibility of entering Italian cinematography, [...] but you don't even dare to speak to my parents, although I felt attracted to me by This new and prestigious art form. I was looking forward to becoming of age to declare my aspiration. But the moment was also first [...] with the interest [...] of Sabatino Lopez, who then presided over the shows of the Teatro del Popolo in Milan. He convinced with his authority my parents that being stable theater based in the same city I could be an actress not moving away from home.",1.4507144200615585,0.7547236084938049,0.7513001561164856,0.14253436028957367,0.09788484871387482,0.3647705912590027,0.10586028546094894,0.9250739812850952,0.5750499963760376,0.7450050115585327,0.048242125660181046,0.785132884979248,0.0007991803577169776,0.12402892857789993,0.10195509344339371,0.10306648164987564,0.16371329128742218,0.9236018061637878,0.8702346682548523,0.9188104271888733
"Ettore Paladini, director of the company, [...] looked at us with good eyes and tellers [...], and hard but illuminated in the face [...] by a light of intelligent goodness. My soul tempon to his discipline. Discipline of soldier, of just, of in love with his work. [...] Virgilio Talli I understood it immediately: exuberant of mind for his actors, [...] exuberant of love for the theater. His cries and his outbursts were not afraid of me. [...] And it was an unparalleled master for me. The attention to detail, albeit very small, was never in him at the expense of the general idea of ​​work.",1.4507144200615585,0.5873139500617981,0.0009214241872541606,0.23435203731060028,0.36528798937797546,0.020733175799250603,0.07486365735530853,0.0009192188736051321,0.01349642314016819,0.20044921338558197,0.024901948869228363,0.735769510269165,0.0005560933495871723,0.0791853666305542,0.07294972240924835,0.0939437597990036,0.05283147096633911,0.6603139042854309,0.95555180311203,0.8805537819862366
"Sound by Marco Prague as one of the few mature actresses for a place of responsibility and pre -eminence, I was predestined to tie my youth [...] trained by the two major masters of the prose scene in Italy, [...] to the most beautiful and sublime Impro that a very young and disinterested spirit had to give to our country and to us actors with its high and human participation. While the Duse, around the world, blessed this company, here is that Luigi Pirandello, affected by the criticism of Marco Prague, writes to Talli for me. Following Talli's response, here in Milan a Pirandello place with the precise assignment of writing me first actress. Our first understanding took place like this: without being seen there or being spoken of us.",1.4507144200615585,0.4882361888885498,0.013448471203446388,0.02399514429271221,0.6858659386634827,0.03083285689353943,0.01929800771176815,0.004506876226514578,0.3683374226093292,0.08583994209766388,0.03288815915584564,0.5419397354125977,0.010293323546648026,0.0435965470969677,0.24787583947181702,0.1169450581073761,0.6238176822662354,0.9796634912490845,0.4181896448135376,0.9534269571304321
"I arrived in Rome with my mother and immediately ran to the Odescalchi Theater to take my place. The company had already gathered for some time; I [...] I came last. A bald man and with a small pointed beard, in the darkness of the stage, his pale and furrowed face, had jumped up with a portentous agility, in contrast with his appearance, as soon as someone said my name. And a warm and vigorous hand shook mine over and over again, with that cordiality that is only proper to men who know how to give and do good. [...] Curiosity, interest, envy, struggles, had turned on from the beginning; Lotte, I mean, by those who have always been against every noble and disinterested art business in the world of theater. The expectation of my presentation, exacerbated by the delay, was very lively. As with every great enterprise in the first beginning, the first settlement was difficult. [...] It was a triumph. A triumph for Bontempelli, for Luigi Pirandello, for the theater and for me. I cried of consolation and bliss. Never again, afterwards, I had such a full and pure joy.",1.4507144200615585,0.5835110545158386,0.021868547424674034,0.3096683919429779,0.1920793354511261,0.3194344639778137,0.16290031373500824,0.06256426125764847,0.26427868008613586,0.2841613292694092,0.21766072511672974,0.6524963974952698,0.0009386706515215337,0.26436081528663635,0.11860422044992447,0.10465455055236816,0.016280176118016243,0.3638533651828766,0.9154627323150635,0.26269131898880005
"Only, helped by the watchful and constant love of my father, I took the reins of the first company ""Marta Abba"" in 1929, all of young people led and directed by me.  [...] I followed to carry around my greatest interpretations of the Pirandellian repertoire. [...] Wise and expert men of the theater [...] cataloged my repertoire as a cerebral and only artistic (i.e. anti antommerial). And the voice had spread to the public. Cerebral Marta Abba and great only in Pirandellian art. [...] And so the year after a second company of my formation, with a repertoire that was increasingly increasing of new interpretations, among which I like to remember above all that of Madame Legros, by Penelope di Maugham, the good fairy of Molnar, of our companion of Antoine, and of Anna Karenina taken from the novel of Tolstoi and the Grillo of the hearth taken from the novel by Dickens.",1.4547058569733053,0.6049017906188965,0.01229738350957632,0.026850510388612747,0.12249154597520828,0.0695747509598732,0.07043468207120895,0.3228464126586914,0.547469973564148,0.1592281311750412,0.2715357840061188,0.640997588634491,0.008940793573856354,0.060134273022413254,0.049650803208351135,0.018705962225794792,0.06713273376226425,0.9513853192329407,0.5628189444541931,0.6609305739402771
"Returning to the homeland after so many triumphs the most bitter disappointment awaited us: we no longer knew where to go. For debts contracted due to the reconstruction of the Odescalchi Theater that had to be paid by the State and for the delays that occurred in the payment, the theater had to be abandoned to the dealer of Prince Odescalchi. [...] The war began from the day that the will and passion of eleven young people founded a stable theater in Rome. In fact, the Odescalchi theater was also called ""theater of the Eleven"", and they placed Luigi Pirandello in charge; Covered and insidious struggle by a society that has grabbed the whole monopoly of theater in Italy: theaters, repertoires, companies. In the face of this war, I [...] remained to fight next to Luigi Pirandello, then always exposed to all the revenge of the opponents, feeling that the cause for which it was fought was holy, and all in favor of us actors for the dignity of ours profession and for the honor of Italian theater. From the contracts that companies made with the Compagnia del Teatro d'Arte in Rome, directed by Luigi Pirandello, it was demanded that alongside the name of the Maestro it would imagine as with the diction of writing, unique and only, mine; [...] A company that in all the nations of Europe had been welcomed with all the honors of the highest theaters, was condemned to turn almost only in the province [...] the only hope of salvation, South America. She had been promised to American impresario that our company would have been alone starting that year, 1926, for Argentina.",1.4547058569733053,0.5347582101821899,0.6932412385940552,0.03868825361132622,0.0965709388256073,0.011755378916859627,0.21031424403190613,0.0004304652684368193,0.10863801091909409,0.2467813640832901,0.03933126479387283,0.5012548565864563,0.005887651350349188,0.07945030182600021,0.06499116122722626,0.06416656076908112,0.05724666267633438,0.947162926197052,0.7895305156707764,0.15401212871074677
