row_id,text,gt_num_entailed,languages_present,models_present,templates_present,num_keywords_total,num_predictions_total,mean_error_all,median_error_all,worst_error_all,accuracy_all,mean_time_all,worst_accuracy_by_model,best_accuracy_by_model,std_accuracy_across_models,mean_accuracy_across_models,mean_f_score_across_models,best_score,worst_score
458,"Ah! Yes, I did the examination at the Academy. Yes, I had a forty fever that morning. In Rome it was so cold. I was admitted the same, with the scholarship, yes, but ... ""I felt the blood in the lumps of ice. I didn't have to speak: I still didn't know if the ""o"" of the bag is open or closed. I don't have to talk. It can be noticed that I can only pronounce cumbersome: that the words of that short scene ... (already! The old crazy fishing of O'Neill). If he realizes it, he returns to his decision to confirm my scholarship, and takes it away. He commands here. I will pass through Rhinese, but I don't have to open mouth. «Well, well, girl: you did some miracles. It's incredible! Brava, the bag is confirmed. Well, don't you say anything? You can be happy ... ""that master was silent, with one eye he stared at me and with the other spied on the faces in silence, waiting respectful behind the tables. He was the master, and he saw himself from how they looked at him, and he had an eye on for everything. (""The masters have a hundred eyes""). He was waiting for an answer, but I couldn't thank. Is the ""e"" of I am happy or closed or closed? I could say I am excited, but the ""o"" are excited were closed or open? I don't have to open mouth.",11,"en,en_nmt,it","M1,M2,M3,M4,M5,M6,M7,M8","T0,T1",275,13200,0.5703439577264998,0.7055414319038391,0.9998907915214659,0.39136363636363636,3.84764481054081,0.04,0.7896969696969697,0.22941495440347512,0.39136363636363636,0.09070553231236722,0.16194868196016124,1.7996497036514407
88,"Now all my being, my thoughts converged on the character I should have played. I called Mary, praying to her that I wanted to give me the script of the film, of which I repeated the scene repeated times. But, Holy God, why start from the end instead of from the beginning? It seemed to me something so absurd! Only then I understood all the meaning. Mary was with me: not even a moment was missing. When the script returned to her, she murmured: «Courage, young lady; Everything will be fine, it will see. ""I don't know if it was the words of that good woman or those who, a few moments earlier, had addressed me Gasnier, but now I felt a security that I would not have been able to explain the causes. I thought that a miracle would come to my help. I hoped for it at that precise moment from Providence or from my good star: one of those stars that I had loved as a child so much. It seemed to me to navigate in a much strangest unreality than that in which my stars were born. I was taken in a kind of spell and now I had nothing left but let me transport to the drift from that dream that could be transformed into a wonderful, bright reality. But here is suddenly the sun reappeared: a shiny, powerful sun, and the director's voice came to my ear like a trumpet rim: «Ready everyone! Turn around! """,7,"en,en_nmt,it","M1,M2,M3,M4,M5,M6,M7,M8","T0,T1",275,13200,0.5072533386525174,0.4612486660480499,0.9998451280698646,0.5195454545454545,3.372995319296059,0.14,0.9648484848484848,0.27869558984401693,0.5195454545454545,0.06264184172814188,0.2408498647014376,1.785794056566399
262,"On the same night, with candlelight (I thought Angela already asleep) I got up from the cot, I broke the bottle of massage oil against the wall, helping me with a handkerchief so as not to make noise and with the biggest fragment I engraved the wrist twice Left: a sign of the cross that I would have brought for the rest of life. I didn't feel pain: I went back to the cot, my right hand stands eyes, the left abandoned on the floor for the blood to drain. It was then that I saw Angela get up, collect the same fragment and repeat my gesture. We didn't say anything. They were born in spite of those who put me to the world, I had lived against all the arid rules of the society at the time, and in spite of those who wanted to challenge my destiny I was leaving. [...] Those who try cold suicide and use rudimentary means to cut their veins, as I did, usually imagine one after that will come, not always coated in the other world. Think of a thread of blood that flows under the door, a cry of alarm, a gesture of pity in extremis, to a pitiful rescue that promises to all, willingly or nolent, would bring to consciousness the remorse of an early death. In mind that the thread of my blood, good blood, unreachable, stumbled upon the crack under the door, just this I was waiting for anxiety: that a surveillance subordinated was noticed. I was about to leave this world in spite of those who wanted to challenge my destiny. I was born in spite, and, in spite, I wanted to survive.",11,"en,en_nmt,it","M1,M2,M3,M4,M5,M6,M7,M8","T0,T1",275,13200,0.5460821811382387,0.6773507595062256,0.9999467467714567,0.42613636363636365,3.6295236342648667,0.04,0.7333333333333333,0.23363020132130735,0.42613636363636365,0.09952424991093681,0.1925061623150563,1.779659129231003
276,"[...] With the money earned one million lire, Mommy, Maria and I moved to a larger apartment in via Balzani and I could finally redeem my sister's honor. My father, if ever for a moment there had been, had definitively disappeared from my life, I no longer tried to love him. Precisely for this reason it was not difficult to turn to Aida's cachet by obtaining a surname in return: for me an empty shell, for my sister salvation. Maria Villani became Maria Scicolone and was finally able to turn the page, return to school, start living. It is perhaps useless to dwell on the sequel to the sad story. However, I was saved. With my means, as I could, I had traveled our family history, to understand what as a child appeared too big to face. And I had come to my conclusions. Not all men were like Riccardo Scicolone, not all the events had to repeat themselves. At my side I wanted a different person, who could make me really happy. I still didn't know with certainty, but life soon would show me that I, my ideal man, had already met him.",10,"en,en_nmt,it","M1,M2,M3,M4,M5,M6,M7,M8","T0,T1",275,13200,0.5298182304269096,0.5687969624996185,0.9999003292541602,0.4509090909090909,3.6406266525002358,0.07757575757575758,0.8248484848484848,0.2438111840754175,0.4509090909090909,0.11518870352685878,0.20709790683367343,1.7735297437564874
74,"In 1963 Bernardo Bertolucci proposed to play in the role of the protagonist in the first of the revolution, his second director film. Of course I accepted, but for me it was a psychodrama. Bernardo took my soul in that film: my character resembled me too much. And when one thing concerns you so directly, it may seem even repugnant. Only when I finished it, did I understand how beautiful that film was. Bernardo was my partner for almost five years. I had met him through Pier Paolo. I saw him for the first time in 1962, when he was shooting the dried command, his first film, with Pasolini's screenplay. [...] Bernardo was ten years less than me and was really a boy: I specialized in younger men, the only ones with whom he ever managed to have lasting relationships. So, such a difference in age was scandalous, but not for our circle of friends who from the beginning made the cheering for us. [...] My work often took me away from Rome and he reached me. The last time he was in Turin, where I recited in Cesare and Cleopatra by Bernard Shaw. Bernardo therefore came to see me, but shortly afterwards we left each other. He ended because of me, because I had the habit of destroying true bonds. Of the two, I was the immature. I resisted. I had a bad wedding behind her. The only relationship to which at the time I was able to remain faithful without effort was the one with the stage.",13,"en,en_nmt,it","M1,M2,M3,M4,M5,M6,M7,M8","T0,T1",275,13200,0.5003014513830117,0.47581803798675537,0.99984210729599,0.5088636363636364,3.52694400548494,0.07454545454545454,0.9527272727272728,0.270544014934338,0.5088636363636364,0.11269344483152134,0.2383196214292984,1.7706875736133396
417,"I see myself at fifteen (1944) to a high school desk (which I have not finished), with the fascists who enter the classy, ​​in silence they look at us one by one. Then they call me, they say my name and surname, and they take me to the principal's study. I don't know what color my face was, but I was afraid that everyone could hear the beat of my heart. I thought, now they take me to Villa sad. Villa sad was a house at the beginning of the road that led to my school, where everyone in the city knew it were interrogated and tortured the partisans. But I was not a partisan. I was nothing. ""Don't worry,"" I said to myself, ""don't worry ..."" Then suddenly, at the first question I understood everything. And the heart down, to beat faster. Now the cuddly takes me and I go down. ""Been to Enrico Mazzucchetti?"" It shakes me the ranking.  ""Yes."" ""Where?"" ""I do not know."" Enrico, known as Bubi, was my fifteen love love: the first. ""I haven't seen for a while."" I knew he had gone to the partisans, but a few days before I had seen it, he had come under my house to give me a kiss and a ticket that I should have delivered to someone who, to be recognized, would have told me: how is Bubi? My God, what had happened? ""At that time?"" They were threatening. ""I don't see him anymore ..."" and I stay there, with his mouth open like a alocca. Once in the headquarters of the principal they rummaged me in my pocket. Then they let me go. My innocent air had convinced them. I don't remember anything else. I found myself in class with my head detached from the body and the sweaty hands. I was talking to myself by imagining my mother's voice: «You are an unconscious, you are unfortunate. If you know your father kills you, and it's good. "" And doing the mark of the CRO I blessed the idea that I had had to tear the ticket in small pieces with the letter after learning it by heart, word for word. When one morning going to school I was contacted by a girl I had never seen, to her question, pronounced with great determination: ""And how is Bubi?"" I pulled a very deep breath, then I said in one breath what I had to say and I passed out. But how do you be so fragile and emotional? I could never have become a partisan; Not even a relay ...",12,"en,en_nmt,it","M1,M2,M3,M4,M5,M6,M7,M8","T0,T1",275,13200,0.5414919835134859,0.5914611220359802,0.9997065663337708,0.40143939393939393,3.8185944073887854,0.07212121212121213,0.813939393939394,0.22922049920474744,0.40143939393939393,0.13408812647271914,0.1722188947346465,1.7704190490520042
181,"In the film I began to shoot there was this time, beyond Osvaldo Valenti, also Luisa Ferida. It was a simple creature, in love fanatically in Osvaldo; of very modest origins, he was intelligent enough not to be ashamed of it; However, he had fascinated him in Osvaldo, especially, the spoiled quality of his spirit that revealed the experience of an easy and carefree life. He too loved her: a little amazed to be in love with a woman, the simpler than those he was accustomed to, but he loved her; It was, above all, intended for that adoration offered without defense; And he was faithful to Luisa, proclaiming her affection for her on every occasion, helping her constant protection. She always feared to lose him [...] I was sometimes femininely embarrassed and annoyed in front of the humility of that adoration so discovered that ended up undressing her with the most tenuous defense of a woman. I thought on those occasions, which excellent actress had become Ferida, especially in recent times. I thought - and I still think - that his revealing of artist not surprisingly coincided with his love for Valenti. There are two or three films of Ferida, the last ones, in which it provides for a choice of expressive means so prudent and rigorous, to be wondered if it is truly the same obvious actress and a little sloppy that each could see in many previous films.",7,"en,en_nmt,it","M1,M2,M3,M4,M5,M6,M7,M8","T0,T1",275,13200,0.5190796879574078,0.6283639967441559,0.9998056292533876,0.45227272727272727,3.716126294609646,0.025454545454545455,0.8248484848484848,0.24584336688013578,0.45227272727272727,0.09670060203951544,0.2064293603925915,1.7647286840909313
128,"In 1962, Marilyn Monroe committed suicide. He was thirty -six years old. That news exploded like a bomb in those years of sweet life, like the announcement of a divine curse, of a punishment launched on a woman too beautiful who had played too much with the desire of men ... I was interviewed by some journalists at regard. They asked me if I was afraid of that fate of actress. Why that comparison? It was absurd. We had nothing in common, Marylin and I. I did not feel involved in that death more than any other girl from my generation could be. But I understood the loss, the desperation of Marilyn. Here is a star who had been lost. But she had nothing to cling to! Not only did he miss the great love. The presence of a secretary, of a doctor, of passenger lovers, could nothing against solitude and suffering of childhood, the absence of the family. He had been thrown to the public without anyone who protected it, increasing his fragility. On the contrary, I felt very strong, and above all deeply normal. I owe it to dad, to mom, in Blanche, Bruno, Adrien, and Beppo, our wolf dog. My family gave me security and normal. At home, there was talk of my brothers' electronic studies, in the same way that the filming of my film was talked about. We all had dreams, desires, works. Adrien became Cameraman, but Blanche was unable to follow my footsteps in the cinema. It was difficult to impose another cardinal. In any case, this is what Cristaldi claimed. Of course, my job was a little strange, not only because I earned much more than all the others, but because it continued outside the set, during the evenings in a long dress, the seats by the photographer, the interviews. But I remained Claude, the older sister who had a minister's agenda, and that others treated like a star. The reporters came to interview me on this, on that, but in the family my opinion did not count more than the others. There was not even talk of the famous people I knew. It would have already been a lot if my mother had allowed them to call them ""respectable people"". They had too many money and were too famous. He pretended that they didn't exist. That slightly misunderstood world remained outside the home.",13,"en,en_nmt,it","M1,M2,M3,M4,M5,M6,M7,M8","T0,T1",275,13200,0.521393110367734,0.534501701593399,0.9999425612622872,0.46136363636363636,3.524719627825367,0.16484848484848486,0.7515151515151515,0.24256786870910998,0.46136363636363636,0.11558089544247876,0.21879576765452638,1.763903540339131
114,"... Once upon a time there was a girl named Claude: a boy name. That name had also given her a boy's soul: from an early age he loved the challenge, cultivated physical and psychological courage, if he offended it he got angry, but did not cry. Then, one day, it happened that Claude looked in the mirror: and the mirror were the eyes of others, especially of the boys with whom he met at school or on the beach of Tunis. And in the mirror he realized he was a woman. Then he began to question himself: what is a woman? What am I, woman? How do I like a woman? I like a woman strong, active: I don't like the yielding ones, weak, tired, slaves of men. I like beautiful women: I am not ashamed, on the street, to turn to look at them. But their beauty, for me, is inevitably connected to their strength: and you can see, in the eyes, in the rice, in the way of walking. The strength is also the courage of simplicity: I do not like hypervestite, hypertruchy and conspicuously ""lifati"" women, because through all this they tell their weakness. I like the dignity of women: dignity to accept that the years pass without reacting, stealing clothes from the teenage daughters with the illusion of rejuvenating. Yes: women ... and I, how do I like it?",10,"en,en_nmt,it","M1,M2,M3,M4,M5,M6,M7,M8","T0,T1",275,13200,0.49884905360101806,0.5837787985801697,0.999791900147102,0.4652272727272727,3.522752377526309,0.03696969696969697,0.793939393939394,0.2642511491271768,0.4652272727272727,0.0993195054352273,0.20097612360009592,1.7628921028752969
500,"I took the bus every morning to go to the new school, this time I publish. I met Catherine Deneuve at the stop. She is bigger than me a few years old. Women look at each other much more than men, look at each other in a very primitive, almost animalcar way. Even more at that age when there is still no women, but you are no longer even girls. While turning into the future woman, you are perfectly aware of what is beautiful already physically and what are our defects. I looked at myself in all mirrors. I looked at myself in the eyes of others. I looked at me more in the eyes of other women than in those of men. For shyness and instinct; I already knew that man's eyes are a deforming mirror, even if I was still not familiar with the opposite sex. And then I didn't have the audacity that would allow me to look at a man in the eye. I was just looking for an answer that concerned me selfishly. I remember very well our scrutiny each other, as if we had intuited the mutual future, as if we were recognized; Two people belonging, even if in a very different way, to the same family, linked by a similar destiny. There was dismay in our looks. It was not a question of establishing who was the highest, who was the slimmer, who had bigger eyes, the thicker hair, the thinner ankles, how we dress, how we behaved. Each studied the other way of climbing the bus. We didn't go to the same school. We spied naively. The mirror, the mirror of Eric, always comes to mind. The mirror in Anthonny's way of being, my cousin. I was the mirror of Catherine, she was mine, and each through the other looked at herself. We did not express feelings towards each other, our gaze was only in search of an answer that concerned ourselves. Ours was a relationship of anxious, trepidant expectation. Each was waiting for the other, but not the other for the other; He waited for the other for himself. I didn't know her was also called Catherine.",13,"en,en_nmt,it","M1,M2,M3,M4,M5,M6,M7,M8","T0,T1",275,13200,0.5493882535699007,0.6207832396030426,0.99981772605679,0.41234848484848485,3.9138924678550877,0.04727272727272727,0.7369696969696969,0.21352385665451806,0.41234848484848485,0.13487943292349402,0.1988246281939668,1.7627298362812087
