keyword_set,language,row_id,text,gt_num_entailed,languages_present,models_present,templates_present,num_keywords_total,num_predictions_total,mean_error_all,median_error_all,worst_error_all,accuracy_all,mean_time_all,worst_accuracy_by_model,best_accuracy_by_model,std_accuracy_across_models,mean_accuracy_across_models,mean_f_score_across_models,best_score,worst_score
c,it,458,"Ah! Sí, feci l’esame all’accademia. Sí, avevo la febbre a quaranta quella mattina. A Roma faceva tanto freddo. Venni ammessa lo stesso, con la borsa di studio, sí, ma…» Sentii quagliarmi il sangue in grumi di ghiaccio. Non dovevo parlare: ancora non sapevo se la «o» di borsa è aperta o chiusa. Non devo parlare. Si può accorgere che so pronunciare solo macchinalmente: che le parole di quella breve scena… (già! la vecchia pazza della Pesca di O’Neill). Se se ne accorge, ritorna sulla sua decisione di confermarmi la borsa di studio, e me la toglie. Lui comanda qui. Passerò per scortese, ma non devo aprire bocca. «Bene, bene, ragazzina: hai fatto dei miracoli. È incredibile! Brava, la borsa è confermata. Be’, non dici niente? Puoi essere contenta…» Quel padrone taceva, con un occhio mi fissava e con l’altro spiava fra i visi in silenzio, in attesa rispettosa dietro i tavoli. Era il padrone, e si vedeva da come lo guardavano, e lui aveva occhio per tutto. («I padroni hanno cento occhi»). Aspettava una risposta, ma non potevo ringraziare. La «e» di sono contenta è aperta o chiusa? Potrei dire sono emozionata, ma le «o» di sono emozionata erano chiuse o aperte? Non devo aprire bocca.",2,it,"M1,M2,M3,M4,M5,M6,M7,M8","T0,T1",19,304,0.6971061892281317,0.901862233877182,0.9993780255317688,0.2730263157894737,0.2693041075399378,0.10526315789473684,0.7368421052631579,0.2468389390117082,0.2730263157894737,0.2043154761904762,0.026187376777765475,1.9433231537716087
c,en_nmt,547,"I was bent in two in the kitchen listening to Radio London and the orchestra Angelini covered her in the room. That morning in April, the air was different in Piazza Cordusio, I hear a voice: ""What are you doing? Go home, the Germans are running away. He was a friend of mine from Bologna, partisan. What do you mean, I'm going home? When the war really ended with those three great sitting near JaIta, who didn't even know where it was, it seemed that here under the house this shameful ending had wanted it all; I looked at them with dislike as if they had vilely taken away the honor of my weapons.That immediately after the war I didn't say that it made us regret the war, but almost. Even though daddy came back. With the vileness of the guilty, they had asked him that of that industry that had driven him out become the president.In place of hope there was darkness, indifference instead of hatred. I said 1945. What I'm complaining about. I was already on stage in the '50s.",0,en_nmt,"M1,M2,M3,M4,M5,M6,M7,M8","T0,T1",19,304,0.6254360351596772,0.7373600006103516,0.9996554255485536,0.3717105263157895,0.39001060988812236,0.07894736842105263,0.9473684210526315,0.2975422008690226,0.37171052631578944,0.0,0.07416832544676688,1.9226336615772532
c,it,182,"A Cinecittà […] stavamo girando con Valenti una scena di selvaggio, tentato possesso da parte di Cesare Borgia [interpretato da Valenti] su me, che impersonavo la consueta tenera colomba fra le grinfie del Nibbio. Il suo viso era nascosto da una maschera che doveva seppellire la turpitudine del male che lo piagava. La scena era stupida, difficile e io ero stanca e distratta: c’era una maledetta carrellata che non andava mai bene e, ogni volta, toccava ripetere la scena per questo o quell’errore tecnico. Intanto giacevo a terra, fra le braccia di Osvaldo, investita dal raggio infuocato dei riflettori, da quello freddo e abbagliante degli archi. […] Il ciak scoccò sonoro come uno schiaffo […]. Io spalancai gli occhi in una terrorizzata meraviglia, tentai di divincolarmi dalle braccia di Osvaldo che mi ghermivano scoprendomi una spalla e quando fui ben certa che la macchina era giunta al punto convenuto, mi alzai fino ad inginocchiarmi, difendendomi sempre meglio dall’abbraccio del bieco potente: ma ecco, ora la maschera del Borgia cadeva: coperto di orride piaghe ne appariva il viso. Lungo sguardo di terrore, urlo acutissimo, indi ricadevo svenuta. La candida biondezza dell’eroina allungata per terra si offriva ora intera alla macchina da presa e doveva creare una così intensa impressione di purità, da costringere quel satanasso butterato di Cesare Borgia a ritirarsi, abbandonandola, dopo averla guardata a lungo, là sola, svenuta e intatta. Il silenzio del «si gira» era carico di tensione. — Aaalt! — gridò il regista senza megafono, — per me è buona. — Anche per me, — disse l’operatore asciugandosi la faccia dal sudore. — Per il suono? — Due colpi di sirena rassicurarono dalla cabina acustica. — Bene, una buona, un’altra probabile. Basta così. […] Mi alzai, finalmente, sgranchendomi e sollevando la gran sottana del sontuoso costume cinquecentesco a stropicciare le ginocchia intorpidite. Le donne addette alla mia persona si avvicinarono con movimenti rapidi e precisi: la sarta, l’aiutosarta, la pettinatrice, la segretaria di edizione e l’aiutotrucco. Sembrava ripetersi il giuoco di una dama del Rinascimento circondata dalle sue donzelle.",1,it,"M1,M2,M3,M4,M5,M6,M7,M8","T0,T1",19,304,0.6645555904603833,0.8614903390407562,0.997880220413208,0.3059210526315789,0.27595054727862584,0.05263157894736842,0.7105263157894737,0.2601092203092943,0.3059210526315789,0.08847762154213767,0.04581183232228464,1.9225450311828856
c,it,104,"Quella sera stessa Carrier ed io prendemmo la via di Roma. Giungemmo verso mezzanotte. Mia madre mi aspettava, ansiosa di rivedermi. Poco dopo Carrier ci lasciò per rientrare al « Grand Hotel ». Io mi chiusi in camera mia. Le emozioni della giornata erano state troppe. Mi distesi sul letto, pur sapendo che non avrei potuto dormire. Rivedevo quell’agitarsi di popolo intorno al feretro di Caruso e pensavo al destino crudele. Non mi riusciva fissare la mente in altre cose. Tanto successo, tanta gloria, per poi abbandonare tutto così improvvisamente. Ed era ancora giovane! La gloria si vendica, e il rovescio della medaglia c’è sempre per tutti nella vita. Chi sa, un giorno, ci sarebbe stato anche per me. Poi i pensieri mi si accavallarono: Cartier, il cinema. Avrei dovuto scegliere: o l’America o sposarmi. Ma il solo pensiero di un possibile distacco da Cartier mi faceva impazzire. Fu durante quella notte che presi l’irrevocabile decisione di finirla per sempre col cinematografo. Basta, ripetevo a me stessa, basta: è finita ormai!",1,it,"M1,M2,M3,M4,M5,M6,M7,M8","T0,T1",19,304,0.6666255606494959,0.8136578798294067,0.9994158744812012,0.2598684210526316,0.2483704518526792,0.05263157894736842,0.7368421052631579,0.24743939951137542,0.2598684210526315,0.08983771369170351,0.012429021541256163,1.9134808346420726
c,en_nmt,269,"Charles [Ponte] was thirty-nine years old, twenty-two years older than me, and it was already a name, in the midst of his brilliant career. As he asked me when he came to appear at the end of the contest, he had discovered great divas such as Gina Lollobrigida, Sylva Koscina, my beloved Lucia Bosè. Want to take a walk in the park? It is a lovely place, they call it the garden of roses, it will smell...In the meantime it made me rise, laying on my shoulders my light shawl of organza. ""There we are again,"" I told myself, preparing myself within myself to reject the usual advances. In fact, Charles was very professional and instantly gained my trust. He told me about the movies he was making, he asked me about me, he sounded my intentions. Where are you from, miss? Ah, Pozzuoli? If I'm not mistaken, there's a beautiful Roman amphitheater... I was there a few years ago.................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................. From the very beginning he communicated to me an extraordinary sense of security and familiarity, as if we had always known each other. I had the strange impression that he understood me, that he had read behind my impetuous beauty the traces of a reserved character, a difficult past, a great desire to do well, with seriousness and passion. It wasn't a game to me, it was a lot more.",1,en_nmt,"M1,M2,M3,M4,M5,M6,M7,M8","T0,T1",19,304,0.6298438904861158,0.7373303174972534,0.9991204142570496,0.3190789473684211,0.39888721385796083,0.05263157894736842,0.7631578947368421,0.27615910344493894,0.3190789473684211,0.12677172364672365,0.04291984392348214,1.905123408188104
c,en,340,"[Ergas] He turned wildly against me, beating me and throwing me on the ground, until I kick me on the head. I remember the great pain and then a fixed thought: my God, let me die immediately. [They took me] to the hospital [...] I phoned home [...]: Debora [the three -year -old daughter] had disappeared [...] ergas [...] [said] dryly not to have to explain anyone: by law I was not My daughter's mother [...] I legally I was still married to Cesare Rodighiero, a wedding contracted at fifteen years: Debora was a daughter born out of the wedding, i.e. a ""daughter of mother who does not want to be named ». [...] So I wrote a letter to Pietro Nenni on October 5, 1966 [...] It was published on the front page [on ""The forward!""]. [...] Then one day came [...] a ticket that said so: «Dear Lady, at this moment a law is being voted for the reform of family law. Like all laws it is a compromise, but it is still a law [...]. His, Pietro Nenni ». He had made Parliament vote on a proposal by Oronzo Reale, Republican, on the reform of family law. Since then, the so -called illegitimate children could enjoy the right to the name of both parents and all legal rights.",1,en,"M1,M2,M3,M4,M5,M6,M7,M8","T0,T1",19,304,0.6215443612011193,0.7508110404014587,0.9996845722198486,0.3782894736842105,0.3162638177891494,0.07894736842105263,0.9473684210526315,0.2816571109276842,0.3782894736842105,0.05258145752097365,0.09663236275652631,1.9028860443486522
c,it,385,"Mi attrae l’uomo che mi fa sentire donna. Mi piace essere donna. Mi piace sentirmi donna... Mi piace essere coccolata... vezzeggiata... Io non sono femminista, tutt’altro. L’uomo che posso frequentare deve innanzi tutto saper stare in società. Deve essere cavaliere: aprirmi lo sportello della macchina, accendermi la sigaretta, occuparsi del mio bicchiere pieno... vuoto... Quella magari non è una gran fatica perché più di un baby whisky non bevo. Che poi, fra l’altro, fa bene pure alle coronarie. L’uomo deve essere più grande di me. Più piccolo... no. Assolutamente. Avrei delle remore. Remore stupide, certamente. Perché quando una ama, ama. Gli uomini attempati non vanno forse con ragazzette? Fanno bene, allora, le donne mature ad andare con ragazzetti. Non è nella mia mentalità un simile comportamento. Non è nel mio io. Devo ammettere che ce ne è più d’uno che mi fa sentire donna...",0,it,"M1,M2,M3,M4,M5,M6,M7,M8","T0,T1",19,304,0.6369948863955535,0.7708695232868195,0.9996544718742372,0.34210526315789475,0.24487035842321342,0.07894736842105263,0.6578947368421053,0.26315789473684215,0.34210526315789475,0.0,0.0789473684210526,1.8998072530066326
c,it,269,"Carlo [Ponti] aveva trentanove anni, ventidue più di me, ed era già un nome, nel pieno della sua folgorante carriera. Come si premurò di dirmi quando venne a presentarsi al termine del concorso, aveva scoperto grandi dive come Gina Lollobrigida, Sylva Koscina, la mia adorata Lucia Bosè. «Facciamo una passeggiata nel parco? È un luogo incantevole, lo chiamano “il giardino delle rose”, sentirà che profumo...» Intanto mi faceva alzare, posandomi sulle spalle il mio leggero scialle di organza. “Ci risiamo” mi dissi, preparandomi dentro di me a respingere le solite avances. In realtà, Carlo fu molto professionale e si guadagnò all’istante la mia fiducia. Mi raccontò dei film che stava facendo, mi chiese di me, sondò le mie intenzioni. «Da dove viene, signorina? Ah, Pozzuoli? Se non sbaglio, c’è un bellissimo anfiteatro romano... Ci sono stato qualche anno fa.» «Sta proprio davanti a casa mia, lo vediamo dalle nostre finestre» gli risposi, grata che avesse trovato un punto comune tra noi. Da subito mi comunicò uno straordinario senso di sicurezza e di familiarità, come se ci conoscessimo da sempre. Ebbi la strana impressione che mi avesse capito, che avesse letto dietro la mia bellezza impetuosa le tracce di un carattere riservato, di un passato difficile, di una gran voglia di fare bene, con serietà e passione. Per me non era un gioco, era molto di più.",1,it,"M1,M2,M3,M4,M5,M6,M7,M8","T0,T1",19,304,0.5643702969401649,0.6538238227367401,0.9993818998336792,0.4375,0.2552146803209325,0.13157894736842105,0.9473684210526315,0.3358118348789932,0.4375,0.13048346642096642,0.10168816512100681,1.8995640316528373
c,it,439,"Di Pietro mi contattò per chiedermi se volevo candidarmi alle elezioni nazionali del 2006. Avevo tanti impegni, tante cose da fare, mi sembrava una follia, e glielo dissi. Ma lui fece girare la notizia e la gente cominciò a telefonare. «Devi andare, devi andare», mi dicevano. Alla fine mi candidai nella lista dell’Italia dei Valori. Presi quasi cinquecentomila voti, che sono tanti. Proprio per rispetto verso i miei elettori, e per un senso di responsabilità, sono rimasta in Senato più a lungo di quanto avrei voluto. Se fosse stato per me, avrei dato le dimissioni almeno sette mesi prima che cadesse il governo. (...) I diciannove mesi più brutti della mia vita. È stato un periodo di grande solitudine, ero circondata da persone asociali. La Finocchiaro mi ha salutata soltanto dopo un anno. Pensavo sempre: «Non sono quella che arriva dalla Sicilia e si chiama Luisa Rovigotti. Ho recitato nei teatri di tutta Italia, non puoi fare finta di non conoscermi!». Era la decana dell’Unione e, come donna, avrebbe dovuto prendere noi povere femmine disgraziate, che non sapevamo niente, e affidarci a qualcuno che ci insegnasse qualche cosa. La Finocchiaro passava davanti a me come se fossi trasparente, poi quando ha avuto bisogno di me: «Francuzza, Francuzza». In quel Senato ho fatto l’inimmaginabile.",1,it,"M1,M2,M3,M4,M5,M6,M7,M8","T0,T1",19,304,0.6068387470282974,0.6935254335403442,0.9996185302734376,0.3881578947368421,0.2552089017844991,0.07894736842105263,0.868421052631579,0.29227963365602283,0.3881578947368421,0.1855596671976004,0.09587826108081926,1.898736910957758
c,en,58,"Bernardo, the son of the poet Attilio, was still a boy and he was Pier Paolo's assistant. Bernardo's first film was written by Pier Paolo's first film. I played before the revolution, his second film. And I didn't have the feeling of shooting a good movie. I knew it. At the first projection I understood. The things that concern us directly never seem to us to be beautiful, they seem to be repugnant, right? The character really looked like me too much. And Bernardo is not a cynical person. It is directed as a poet, how. Realizes what passes through the mind, does not judge, does not censor. The peculiarity of that film is that it was not censored by the Superio. A bit like in Pier Paolo's films. Bernardo Perd was my exact opposite. Of me, during my childhood, I often heard carefully, aloud: - but what a pity that the girl is like that! From an early age he was understood and valued.",1,en,"M1,M2,M3,M4,M5,M6,M7,M8","T0,T1",19,304,0.5983917996148815,0.6803590655326843,0.9998678878182546,0.3980263157894737,0.3102232228411594,0.05263157894736842,0.7894736842105263,0.300190382803943,0.3980263157894737,0.0339080459770115,0.09783593298553067,1.8984500702370792
